pid, used_gpu_memory [MiB]
3621477, 66 MiB
138634, 60 MiB
135848, 1138 MiB
135836, 1138 MiB
135855, 7796 MiB
135844, 1138 MiB
135829, 1138 MiB
135837, 1138 MiB
135845, 1138 MiB
135847, 1138 MiB
135852, 1138 MiB
135851, 1138 MiB
135828, 1138 MiB
135835, 1138 MiB
135843, 1138 MiB
135840, 1138 MiB
135839, 1138 MiB
135849, 1138 MiB
135830, 1138 MiB
135853, 1138 MiB
135833, 1138 MiB
135832, 1138 MiB
135838, 1138 MiB
135831, 1138 MiB
135850, 1138 MiB
135841, 1138 MiB
135856, 7796 MiB
135846, 1138 MiB
135834, 1138 MiB
135842, 1138 MiB
0 %, 45391 MiB
